Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,277.7099914550781,284.94000244140625,276.2200012207031,284.4700012207031,282.4119567871094,35151100
2022-05-03,283.9599914550781,284.1300048828125,280.1499938964844,281.7799987792969,279.7414245605469,25978600
2022-05-04,282.5899963378906,290.8800048828125,276.7300109863281,289.9800109863281,287.8821105957031,33599300
2022-05-05,285.5400085449219,286.3500061035156,274.3399963378906,277.3500061035156,275.3434753417969,43260400
2022-05-06,274.80999755859375,279.25,271.2699890136719,274.7300109863281,272.742431640625,37780300
2022-05-09,270.05999755859375,272.3599853515625,263.32000732421875,264.5799865722656,262.66583251953125,47726000
2022-05-10,271.69000244140625,273.75,265.07000732421875,269.5,267.5502624511719,39336400
2022-05-11,265.67999267578125,271.3599853515625,259.29998779296875,260.54998779296875,258.6650085449219,48975900
2022-05-12,257.69000244140625,259.8800048828125,250.02000427246094,255.35000610351562,253.50262451171875,51033800
2022-05-13,257.3500061035156,263.0400085449219,255.35000610351562,261.1199951171875,259.23089599609375,34925100
2022-05-16,259.9599914550781,265.82000732421875,255.77999877929688,261.5,259.608154296875,32550900
2022-05-17,266.1099853515625,268.3299865722656,262.4599914550781,266.82000732421875,264.8896789550781,28828800
2022-05-18,263.0,263.6000061035156,252.77000427246094,254.0800018310547,252.82933044433594,31356000
2022-05-19,253.89999389648438,257.6700134277344,251.8800048828125,253.13999938964844,251.89393615722656,32692300
2022-05-20,257.239990234375,258.5400085449219,246.44000244140625,252.55999755859375,251.31680297851562,39199300
2022-05-23,255.49000549316406,261.5,253.42999267578125,260.6499938964844,259.3669738769531,33175400
2022-05-24,257.8900146484375,261.3299865722656,253.5,259.6199951171875,258.342041015625,29043900
2022-05-25,258.1400146484375,264.5799865722656,257.1300048828125,262.5199890136719,261.2277526855469,28547900
2022-05-26,262.2699890136719,267.1099853515625,261.42999267578125,265.8999938964844,264.59112548828125,25002100
2022-05-27,268.4800109863281,273.3399963378906,267.55999755859375,273.239990234375,271.8949890136719,26910800
2022-05-31,272.5299987792969,274.7699890136719,268.92999267578125,271.8699951171875,270.5317687988281,37827700
2022-06-01,275.20001220703125,277.69000244140625,270.0400085449219,272.4200134277344,271.07904052734375,25292200
2022-06-02,264.45001220703125,274.6499938964844,261.6000061035156,274.5799865722656,273.2283935546875,44008200
2022-06-03,270.30999755859375,273.45001220703125,268.4100036621094,270.0199890136719,268.69085693359375,28059000
2022-06-06,272.05999755859375,274.17999267578125,267.2200012207031,268.75,267.4270935058594,22400300
2022-06-07,266.6400146484375,273.1300048828125,265.94000244140625,272.5,271.1586608886719,22860700
2022-06-08,271.7099914550781,273.0,269.6099853515625,270.4100036621094,269.0789489746094,17372300
2022-06-09,267.7799987792969,272.7099914550781,264.6300048828125,264.7900085449219,263.4866027832031,26439700
2022-06-10,260.5799865722656,260.5799865722656,252.52999877929688,252.99000549316406,251.74468994140625,31422800
2022-06-13,245.11000061035156,249.02000427246094,241.52999877929688,242.25999450683594,241.06748962402344,46135800
2022-06-14,243.86000061035156,245.74000549316406,241.50999450683594,244.49000549316406,243.28652954101562,28651500
2022-06-15,248.30999755859375,255.3000030517578,246.4199981689453,251.75999450683594,250.52073669433594,33111700
2022-06-16,245.97999572753906,247.4199981689453,243.02000427246094,244.97000122070312,243.76416015625,33169200
2022-06-17,244.6999969482422,250.5,244.02999877929688,247.64999389648438,246.4309539794922,43084800
2022-06-21,250.25999450683594,254.75,249.50999450683594,253.74000549316406,252.49099731445312,29928300
2022-06-22,251.88999938964844,257.1700134277344,250.3699951171875,253.1300048828125,251.8839874267578,25939900
2022-06-23,255.57000732421875,259.3699951171875,253.6300048828125,258.8599853515625,257.58575439453125,25861400
2022-06-24,261.80999755859375,267.9800109863281,261.7200012207031,267.70001220703125,266.3822937011719,33923200
2022-06-27,268.2099914550781,268.29998779296875,263.2799987792969,264.8900146484375,263.58612060546875,24615100
2022-06-28,263.9800109863281,266.9100036621094,256.32000732421875,256.4800109863281,255.21751403808594,27295500
2022-06-29,257.5899963378906,261.9700012207031,255.75999450683594,260.260009765625,258.9788818359375,20069800
2022-06-30,257.04998779296875,259.5299987792969,252.89999389648438,256.8299865722656,255.5657501220703,31730900
2022-07-01,256.3900146484375,259.7699890136719,254.61000061035156,259.5799865722656,258.30224609375,22837700
2022-07-05,256.1600036621094,262.9800109863281,254.74000549316406,262.8500061035156,261.55615234375,22941000
2022-07-06,263.75,267.989990234375,262.3999938964844,266.2099914550781,264.89959716796875,23824400
2022-07-07,265.1199951171875,269.05999755859375,265.0199890136719,268.3999938964844,267.07879638671875,20859900
2022-07-08,264.7900085449219,268.1000061035156,263.2900085449219,267.6600036621094,266.34246826171875,19658800
2022-07-11,265.6499938964844,266.5299987792969,262.17999267578125,264.510009765625,263.2079772949219,19455200
2022-07-12,265.8800048828125,265.94000244140625,252.0399932861328,253.6699981689453,252.42132568359375,35868500
2022-07-13,250.19000244140625,253.5500030517578,248.11000061035156,252.72000122070312,251.47601318359375,29497400
2022-07-14,250.57000732421875,255.13999938964844,245.94000244140625,254.0800018310547,252.82933044433594,25102800
2022-07-15,255.72000122070312,260.3699951171875,254.77000427246094,256.7200012207031,255.45632934570312,29774100
2022-07-18,259.75,260.8399963378906,253.3000030517578,254.25,252.99847412109375,20975000
2022-07-19,257.5799865722656,259.7200012207031,253.67999267578125,259.5299987792969,258.25250244140625,25012600
2022-07-20,259.8999938964844,264.8699951171875,258.9100036621094,262.2699890136719,260.97900390625,22788300
2022-07-21,259.7900085449219,264.8900146484375,257.0299987792969,264.8399963378906,263.5363464355469,22404700
2022-07-22,265.239990234375,265.3299865722656,259.07000732421875,260.3599853515625,259.078369140625,21881300
2022-07-25,261.0,261.5,256.80999755859375,258.8299865722656,257.5559387207031,21056000
2022-07-26,259.8599853515625,259.8800048828125,249.57000732421875,251.89999389648438,250.6600341796875,39348000
2022-07-27,261.1600036621094,270.04998779296875,258.8500061035156,268.739990234375,267.4171447753906,45994000
2022-07-28,269.75,277.8399963378906,267.8699951171875,276.4100036621094,275.04937744140625,33459300
2022-07-29,277.70001220703125,282.0,276.6300048828125,280.739990234375,279.35809326171875,32152800
2022-08-01,277.82000732421875,281.2799987792969,275.8399963378906,278.010009765625,276.6415100097656,21539600
2022-08-02,276.0,277.8900146484375,272.3800048828125,274.82000732421875,273.4672546386719,22754200
